fund_name,nav_date,nav_value
DSP Midcap Fund – Direct Plan – Growth,2014-02-05,19.31
DSP Midcap Fund – Direct Plan – Growth,2014-02-06,19.293
DSP Midcap Fund – Direct Plan – Growth,2014-02-07,19.406
DSP Midcap Fund – Direct Plan – Growth,2014-02-10,19.474
DSP Midcap Fund – Direct Plan – Growth,2014-02-11,19.567
DSP Midcap Fund – Direct Plan – Growth,2014-02-12,19.632
DSP Midcap Fund – Direct Plan – Growth,2014-02-13,19.414
DSP Midcap Fund – Direct Plan – Growth,2014-02-14,19.408
DSP Midcap Fund – Direct Plan – Growth,2014-02-17,19.387
DSP Midcap Fund – Direct Plan – Growth,2014-02-18,19.556
DSP Midcap Fund – Direct Plan – Growth,2014-02-19,19.635
DSP Midcap Fund – Direct Plan – Growth,2014-02-20,19.633
DSP Midcap Fund – Direct Plan – Growth,2014-02-21,19.838
DSP Midcap Fund – Direct Plan – Growth,2014-02-24,19.983
DSP Midcap Fund – Direct Plan – Growth,2014-02-25,20.025
DSP Midcap Fund – Direct Plan – Growth,2014-02-26,20.128
DSP Midcap Fund – Direct Plan – Growth,2014-02-28,20.317
DSP Midcap Fund – Direct Plan – Growth,2014-03-03,20.225
DSP Midcap Fund – Direct Plan – Growth,2014-03-04,20.408
DSP Midcap Fund – Direct Plan – Growth,2014-03-05,20.544
DSP Midcap Fund – Direct Plan – Growth,2014-03-06,20.967
DSP Midcap Fund – Direct Plan – Growth,2014-03-07,20.825
DSP Midcap Fund – Direct Plan – Growth,2014-03-10,20.789
DSP Midcap Fund – Direct Plan – Growth,2014-03-11,20.693
DSP Midcap Fund – Direct Plan – Growth,2014-03-12,20.688
DSP Midcap Fund – Direct Plan – Growth,2014-03-13,20.557
DSP Midcap Fund – Direct Plan – Growth,2014-03-14,20.482
DSP Midcap Fund – Direct Plan – Growth,2014-03-18,20.597
DSP Midcap Fund – Direct Plan – Growth,2014-03-19,20.635
DSP Midcap Fund – Direct Plan – Growth,2014-03-20,20.628
