date,fund_name,nav,cap,fund_type
2013-04-21,DSP Midcap Fund,17.577,Mid Cap,Equity
2013-04-22,DSP Midcap Fund,17.808,Mid Cap,Equity
2013-04-23,DSP Midcap Fund,17.715,Mid Cap,Equity
2013-04-24,DSP Midcap Fund,17.715,Mid Cap,Equity
2013-04-25,DSP Midcap Fund,17.799,Mid Cap,Equity
2013-04-26,DSP Midcap Fund,17.723,Mid Cap,Equity
2013-04-27,DSP Midcap Fund,17.723,Mid Cap,Equity
2013-04-28,DSP Midcap Fund,17.723,Mid Cap,Equity
2013-04-29,DSP Midcap Fund,17.774,Mid Cap,Equity
2013-04-30,DSP Midcap Fund,17.849,Mid Cap,Equity
2013-05-01,DSP Midcap Fund,17.849,Mid Cap,Equity
2013-05-02,DSP Midcap Fund,18.012,Mid Cap,Equity
2013-05-03,DSP Midcap Fund,17.898,Mid Cap,Equity
2013-05-04,DSP Midcap Fund,17.898,Mid Cap,Equity
2013-05-05,DSP Midcap Fund,17.898,Mid Cap,Equity
2013-05-06,DSP Midcap Fund,18.02,Mid Cap,Equity
2013-05-07,DSP Midcap Fund,18.201,Mid Cap,Equity
2013-05-08,DSP Midcap Fund,18.274,Mid Cap,Equity
2013-05-09,DSP Midcap Fund,18.174,Mid Cap,Equity
2013-05-10,DSP Midcap Fund,18.18,Mid Cap,Equity
2013-05-11,DSP Midcap Fund,18.18,Mid Cap,Equity
2013-05-12,DSP Midcap Fund,18.18,Mid Cap,Equity
2013-05-13,DSP Midcap Fund,18.053,Mid Cap,Equity
2013-05-14,DSP Midcap Fund,18.137,Mid Cap,Equity
2013-05-15,DSP Midcap Fund,18.394,Mid Cap,Equity
2013-05-16,DSP Midcap Fund,18.498,Mid Cap,Equity
2013-05-17,DSP Midcap Fund,18.447,Mid Cap,Equity
2013-05-18,DSP Midcap Fund,18.447,Mid Cap,Equity
2013-05-19,DSP Midcap Fund,18.447,Mid Cap,Equity
2013-05-20,DSP Midcap Fund,18.397,Mid Cap,Equity
2013-05-21,DSP Midcap Fund,18.276,Mid Cap,Equity
2013-05-22,DSP Midcap Fund,18.011,Mid Cap,Equity
2013-05-23,DSP Midcap Fund,17.656,Mid Cap,Equity
2013-05-24,DSP Midcap Fund,17.717,Mid Cap,Equity
2013-05-25,DSP Midcap Fund,17.717,Mid Cap,Equity
2013-05-26,DSP Midcap Fund,17.717,Mid Cap,Equity
2013-05-27,DSP Midcap Fund,17.865,Mid Cap,Equity
2013-05-28,DSP Midcap Fund,18.051,Mid Cap,Equity
2013-05-29,DSP Midcap Fund,17.99,Mid Cap,Equity
2013-05-30,DSP Midcap Fund,18.002,Mid Cap,Equity
2013-05-31,DSP Midcap Fund,17.775,Mid Cap,Equity
2013-06-01,DSP Midcap Fund,17.775,Mid Cap,Equity
2013-06-02,DSP Midcap Fund,17.775,Mid Cap,Equity
2013-06-03,DSP Midcap Fund,17.717,Mid Cap,Equity
2013-06-04,DSP Midcap Fund,17.69,Mid Cap,Equity
2013-06-05,DSP Midcap Fund,17.67,Mid Cap,Equity
2013-06-06,DSP Midcap Fund,17.666,Mid Cap,Equity
2013-06-07,DSP Midcap Fund,17.678,Mid Cap,Equity
2013-06-08,DSP Midcap Fund,17.678,Mid Cap,Equity
2013-06-09,DSP Midcap Fund,17.678,Mid Cap,Equity
2013-06-10,DSP Midcap Fund,17.54,Mid Cap,Equity
2013-06-11,DSP Midcap Fund,17.236,Mid Cap,Equity
2013-06-12,DSP Midcap Fund,17.086,Mid Cap,Equity
2013-06-13,DSP Midcap Fund,16.889,Mid Cap,Equity
2013-06-14,DSP Midcap Fund,17.126,Mid Cap,Equity
2013-06-15,DSP Midcap Fund,17.126,Mid Cap,Equity
2013-06-16,DSP Midcap Fund,17.126,Mid Cap,Equity
2013-06-17,DSP Midcap Fund,17.195,Mid Cap,Equity
2013-06-18,DSP Midcap Fund,17.321,Mid Cap,Equity
2013-06-19,DSP Midcap Fund,17.378,Mid Cap,Equity
2013-06-20,DSP Midcap Fund,17.066,Mid Cap,Equity
2013-06-21,DSP Midcap Fund,16.869,Mid Cap,Equity
2013-06-22,DSP Midcap Fund,16.869,Mid Cap,Equity
2013-06-23,DSP Midcap Fund,16.869,Mid Cap,Equity
2013-06-24,DSP Midcap Fund,16.396,Mid Cap,Equity
2013-06-25,DSP Midcap Fund,16.418,Mid Cap,Equity
2013-06-26,DSP Midcap Fund,16.344,Mid Cap,Equity
2013-06-27,DSP Midcap Fund,16.408,Mid Cap,Equity
2013-06-28,DSP Midcap Fund,16.644,Mid Cap,Equity
2013-06-29,DSP Midcap Fund,16.644,Mid Cap,Equity
2013-06-30,DSP Midcap Fund,16.644,Mid Cap,Equity
2013-07-01,DSP Midcap Fund,16.985,Mid Cap,Equity
2013-07-02,DSP Midcap Fund,17.021,Mid Cap,Equity
2013-07-03,DSP Midcap Fund,16.84,Mid Cap,Equity
2013-07-04,DSP Midcap Fund,16.993,Mid Cap,Equity
2013-07-05,DSP Midcap Fund,17.048,Mid Cap,Equity
2013-07-06,DSP Midcap Fund,17.048,Mid Cap,Equity
2013-07-07,DSP Midcap Fund,17.048,Mid Cap,Equity
2013-07-08,DSP Midcap Fund,16.917,Mid Cap,Equity
2013-07-09,DSP Midcap Fund,17.023,Mid Cap,Equity
2013-07-10,DSP Midcap Fund,17.116,Mid Cap,Equity
2013-07-11,DSP Midcap Fund,17.199,Mid Cap,Equity
2013-07-12,DSP Midcap Fund,17.197,Mid Cap,Equity
2013-07-13,DSP Midcap Fund,17.197,Mid Cap,Equity
2013-07-14,DSP Midcap Fund,17.197,Mid Cap,Equity
2013-07-15,DSP Midcap Fund,17.369,Mid Cap,Equity
2013-07-16,DSP Midcap Fund,17.169,Mid Cap,Equity
2013-07-17,DSP Midcap Fund,17.085,Mid Cap,Equity
2013-07-18,DSP Midcap Fund,17.106,Mid Cap,Equity
2013-07-19,DSP Midcap Fund,16.962,Mid Cap,Equity
2013-07-20,DSP Midcap Fund,16.962,Mid Cap,Equity
2013-07-21,DSP Midcap Fund,16.962,Mid Cap,Equity
2013-07-22,DSP Midcap Fund,16.958,Mid Cap,Equity
2013-07-23,DSP Midcap Fund,16.921,Mid Cap,Equity
2013-07-24,DSP Midcap Fund,16.624,Mid Cap,Equity
2013-07-25,DSP Midcap Fund,16.547,Mid Cap,Equity
2013-07-26,DSP Midcap Fund,16.415,Mid Cap,Equity
2013-07-27,DSP Midcap Fund,16.415,Mid Cap,Equity
2013-07-28,DSP Midcap Fund,16.415,Mid Cap,Equity
2013-07-29,DSP Midcap Fund,16.265,Mid Cap,Equity
2013-07-30,DSP Midcap Fund,15.944,Mid Cap,Equity
2013-07-31,DSP Midcap Fund,15.842,Mid Cap,Equity
2013-08-01,DSP Midcap Fund,15.703,Mid Cap,Equity
2013-08-02,DSP Midcap Fund,15.625,Mid Cap,Equity
2013-08-03,DSP Midcap Fund,15.625,Mid Cap,Equity
2013-08-04,DSP Midcap Fund,15.625,Mid Cap,Equity
2013-08-05,DSP Midcap Fund,15.509,Mid Cap,Equity
2013-08-06,DSP Midcap Fund,15.026,Mid Cap,Equity
2013-08-07,DSP Midcap Fund,15.105,Mid Cap,Equity
2013-08-08,DSP Midcap Fund,15.287,Mid Cap,Equity
2013-08-09,DSP Midcap Fund,15.287,Mid Cap,Equity
2013-08-10,DSP Midcap Fund,15.287,Mid Cap,Equity
2013-08-11,DSP Midcap Fund,15.287,Mid Cap,Equity
2013-08-12,DSP Midcap Fund,15.498,Mid Cap,Equity
2013-08-13,DSP Midcap Fund,15.655,Mid Cap,Equity
2013-08-14,DSP Midcap Fund,15.823,Mid Cap,Equity
2013-08-15,DSP Midcap Fund,15.823,Mid Cap,Equity
2013-08-16,DSP Midcap Fund,15.495,Mid Cap,Equity
